rank,lane,ticker,trade legs,expiry,next-session swing entry target,current Schwab mid/natural reference,profit target,max loss,reward/risk,suggested size,swing hold window,stop/invalidation,gap-risk plan +/-1% open,EOD trend evidence,flow/OI evidence,regime fit,catalyst/earnings risk,target price methodology,OCO bracket order logic,blocker before entry,manual review instruction,why this is worth reviewing tomorrow,display status,final disposition,setup family,setup family key,safety calibration flags,expected win rate,win-rate basis,confidence evidence,per-ticket replay edge,payoff evidence,confidence rating,expected average win,expected average loss,expected value,implied profit factor
60,Momentum Debit,AAPL,Bear Put Debit Spread: buy AAPL 2026-09-18 290P / sell AAPL 2026-09-18 285P,2026-09-18,UNVALIDATED - no execution limit,1.14 / 1.26,$168.75,$125.00,1.35,1 contract only,"Hold only while the directional thesis remains confirmed; review at 7 DTE, but do not force an unvalidated time-stop exit.",Review if spread loses 40-50% of debit ($1.25),"Gap -1%: bearish thesis improves, but do not chase; enter only if <= $2.25 debit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Put; flow=directional; edge=thin_sample; score=8.4; confirm=9.0,"top-flow rank 8; net premium $-29,311,195; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","conflicted: trend=range, vol=low, flow=weak",mixed; earnings in 79 days; Structured earnings/event date is known and outside 7 days (2026-10-29). Earnings date carried from UW stock-screener next_earnings_dt.,"target debit is 25.1% of $5 width; entry target UNVALIDATED - no execution limit; expected-move support ratio 1.81; quote width 3.7%; prior outcome sample n=1, win 100%; flow/OI quality directional/supportive","If this converts to Execute, attach OCO: entry Bear Put Debit Spread: buy AAPL 2026-09-18 290P / sell AAPL 2026-09-18 285P at <= $2.25 debit; OCO take-profit SELL TO CLOSE near $3.60 credit, stop SELL TO CLOSE if spread value falls near $1.12 or thesis breaks.",non-price confirmations must improve; debit is already within target,"One contract only; confirm news, OI/flow, spread width, and existing exposure before entering.","top-flow rank 8; net premium $-29,311,195; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=thin_sample; realized payoff lane is unvalidated; displayed only for research; thin_replay_sample:n=1;debit_ev_not_supported:thin_sample; V4 Scout: target met, but debit execution disabled: corrected next-session replay PF is below 1 for both Bull Call and Bear Put families.",🟡 SCOUT / Review,Scout,Debit spreads,AAPL :: bear put debit spread :: 2026-09-18,,67%,calibrated strategy-family prior,"strategy_family 67%, 90% lower bound 56%, n=28, INSUFFICIENT","thin_sample, n=1, match=ticker_direction, win 100%, avg $139","FAIL, n=0, OOS n=0",⚪ UNRATED · 67% floor,UNVALIDATED,UNVALIDATED,UNVALIDATED,UNVALIDATED
61,Momentum Debit,GOOGL,Bear Put Debit Spread: buy GOOGL 2026-09-11 330P / sell GOOGL 2026-09-11 325P,2026-09-11,UNVALIDATED - no execution limit,1.28 / 1.50,$162.00,$140.00,1.16,1 contract only,"Hold only while the directional thesis remains confirmed; review at 7 DTE, but do not force an unvalidated time-stop exit.",Review if spread loses 40-50% of debit ($1.40),"Gap -1%: bearish thesis improves, but do not chase; enter only if <= $2.25 debit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Put; flow=directional; edge=thin_sample; score=8.4; confirm=9.0,"top-flow rank 12; net premium $-23,882,978; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","conflicted: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,"target debit is 28.1% of $5 width; entry target UNVALIDATED - no execution limit; expected-move support ratio 1.90; quote width 6.6%; prior outcome sample n=1, win 100%; flow/OI quality directional/supportive","If this converts to Execute, attach OCO: entry Bear Put Debit Spread: buy GOOGL 2026-09-11 330P / sell GOOGL 2026-09-11 325P at <= $2.25 debit; OCO take-profit SELL TO CLOSE near $3.60 credit, stop SELL TO CLOSE if spread value falls near $1.12 or thesis breaks.",non-price confirmations must improve; debit is already within target,"One contract only; confirm news, OI/flow, spread width, and existing exposure before entering.","top-flow rank 12; net premium $-23,882,978; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=thin_sample; realized payoff lane is unvalidated; displayed only for research; thin_replay_sample:n=1;debit_ev_not_supported:thin_sample; V4 Scout: target met, but debit execution disabled: corrected next-session replay PF is below 1 for both Bull Call and Bear Put families.",🟡 SCOUT / Review,Scout,Debit spreads,GOOGL :: bear put debit spread :: 2026-09-11,,67%,calibrated strategy-family prior,"strategy_family 67%, 90% lower bound 56%, n=28, INSUFFICIENT","thin_sample, n=1, match=ticker_direction, win 100%, avg $77","FAIL, n=0, OOS n=0",⚪ UNRATED · 67% floor,UNVALIDATED,UNVALIDATED,UNVALIDATED,UNVALIDATED
62,Momentum Debit,META,Bull Call Debit Spread: buy META 2026-09-04 600C / sell META 2026-09-04 610C,2026-09-04,UNVALIDATED - no execution limit,3.10 / 3.80,$296.55,$341.00,0.87,1 contract only,"Hold only while the directional thesis remains confirmed; review at 7 DTE, but do not force an unvalidated time-stop exit.",Review if spread loses 40-50% of debit ($3.41),"Gap +1%: bullish thesis improves, but do not chase; enter only if <= $4.50 debit still holds with fresh OI/news confirmation. Gap -1%: thesis weakens; downgrade to Scout/Research unless support, flow, and quote width reconfirm.",Bull Call; flow=spread_leg; edge=thin_sample; score=7.5; confirm=7.0,"top-flow rank 9; net premium $21,351,879; flow bullish; OI matched_unconfirmed; exact leg matched but OI/side bias is not directionally decisive","conflicted: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,"target debit is 34.1% of $10 width; entry target UNVALIDATED - no execution limit; expected-move support ratio 2.26; quote width 6.5%; prior outcome sample n=1, win 100%; flow/OI quality spread_leg/matched_unconfirmed","If this converts to Execute, attach OCO: entry Bull Call Debit Spread: buy META 2026-09-04 600C / sell META 2026-09-04 610C at <= $4.50 debit; OCO take-profit SELL TO CLOSE near $7.20 credit, stop SELL TO CLOSE if spread value falls near $2.25 or thesis breaks.",non-price confirmations must improve; debit is already within target,"One contract only; confirm news, OI/flow, spread width, and existing exposure before entering.","top-flow rank 9; net premium $21,351,879; flow bullish; OI matched_unconfirmed; exact leg matched but OI/side bias is not directionally decisive; historical edge=thin_sample; realized payoff lane is unvalidated; displayed only for research; thin_replay_sample:n=1;decision_marginal_live_liquidity;flow_not_directional:spread_leg;market_regime_alignment;debit_ev_not_supported:thin_sample;liquidity_quote_quality; V4 Scout: target met, but debit execution disabled: corrected next-session replay PF is",🟡 SCOUT / Review,Scout,Debit spreads,META :: bull call debit spread :: 2026-09-04,,67%,calibrated strategy-family prior,"strategy_family 67%, 90% lower bound 56%, n=28, INSUFFICIENT","thin_sample, n=1, match=ticker_direction, win 100%, avg $208","FAIL, n=0, OOS n=0",⚪ UNRATED · 67% floor,UNVALIDATED,UNVALIDATED,UNVALIDATED,UNVALIDATED
63,Momentum Debit,AAPL,Bear Put Debit Spread: buy AAPL 2026-08-28 295P / sell AAPL 2026-08-28 290P,2026-08-28,UNVALIDATED - no execution limit,1.21 / 1.32,$165.60,$132.00,1.25,1 contract only,"Hold only while the directional thesis remains confirmed; review at 7 DTE, but do not force an unvalidated time-stop exit.",Review if spread loses 40-50% of debit ($1.32),"Gap -1%: bearish thesis improves, but do not chase; enter only if <= $2.25 debit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Put; flow=unclear; edge=thin_sample; score=8.6; confirm=8.0,"top-flow rank 8; net premium $-29,311,195; flow bearish; OI contrary; exact-leg OI side bias conflicts with bearish direction","conflicted: trend=range, vol=low, flow=weak",mixed; earnings in 79 days; Structured earnings/event date is known and outside 7 days (2026-10-29). Earnings date carried from UW stock-screener next_earnings_dt.,"target debit is 26.4% of $5 width; entry target UNVALIDATED - no execution limit; expected-move support ratio 1.98; quote width 6.5%; prior outcome sample n=1, win 100%; flow/OI quality unclear/contrary","If this converts to Execute, attach OCO: entry Bear Put Debit Spread: buy AAPL 2026-08-28 295P / sell AAPL 2026-08-28 290P at <= $2.25 debit; OCO take-profit SELL TO CLOSE near $3.60 credit, stop SELL TO CLOSE if spread value falls near $1.12 or thesis breaks.",non-price confirmations must improve; debit is already within target,"One contract only; confirm news, OI/flow, spread width, and existing exposure before entering.","top-flow rank 8; net premium $-29,311,195; flow bearish; OI contrary; exact-leg OI side bias conflicts with bearish direction; historical edge=thin_sample; realized payoff lane is unvalidated; displayed only for research; thin_replay_sample:n=1;flow_not_directional:unclear;oi_carryover_contrary;debit_ev_not_supported:thin_sample; V4 Scout: target met, but debit execution disabled: corrected next-session replay PF is below 1 for both Bull Call and Bear Put families.",🟡 SCOUT / Review,Scout,Debit spreads,AAPL :: bear put debit spread :: 2026-08-28,,67%,calibrated strategy-family prior,"strategy_family 67%, 90% lower bound 56%, n=28, INSUFFICIENT","thin_sample, n=1, match=ticker_direction, win 100%, avg $139","FAIL, n=0, OOS n=0",⚪ UNRATED · 67% floor,UNVALIDATED,UNVALIDATED,UNVALIDATED,UNVALIDATED
64,Momentum Debit,AAPL,Bear Put Debit Spread: buy AAPL 2026-08-21 295P / sell AAPL 2026-08-21 290P,2026-08-21,UNVALIDATED - no execution limit,0.92 / 0.99,$180.45,$99.00,1.82,1 contract only,"Hold only while the directional thesis remains confirmed; review at 7 DTE, but do not force an unvalidated time-stop exit.",Review if spread loses 40-50% of debit ($0.99),"Gap -1%: bearish thesis improves, but do not chase; enter only if <= $2.25 debit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Put; flow=directional; edge=thin_sample; score=8.2; confirm=8.0,"top-flow rank 8; net premium $-29,311,195; flow bearish; OI contrary; exact-leg OI side bias conflicts with bearish direction","conflicted: trend=range, vol=low, flow=weak",mixed; earnings in 79 days; Structured earnings/event date is known and outside 7 days (2026-10-29). Earnings date carried from UW stock-screener next_earnings_dt.,"target debit is 19.8% of $5 width; entry target UNVALIDATED - no execution limit; expected-move support ratio 1.59; quote width 6.2%; prior outcome sample n=1, win 100%; flow/OI quality directional/contrary","If this converts to Execute, attach OCO: entry Bear Put Debit Spread: buy AAPL 2026-08-21 295P / sell AAPL 2026-08-21 290P at <= $2.25 debit; OCO take-profit SELL TO CLOSE near $3.60 credit, stop SELL TO CLOSE if spread value falls near $1.12 or thesis breaks.",non-price confirmations must improve; debit is already within target,"One contract only; confirm news, OI/flow, spread width, and existing exposure before entering.","top-flow rank 8; net premium $-29,311,195; flow bearish; OI contrary; exact-leg OI side bias conflicts with bearish direction; historical edge=thin_sample; realized payoff lane is unvalidated; displayed only for research; thin_replay_sample:n=1;oi_carryover_contrary;debit_ev_not_supported:thin_sample; V4 Scout: target met, but debit execution disabled: corrected next-session replay PF is below 1 for both Bull Call and Bear Put families.",🟡 SCOUT / Review,Scout,Debit spreads,AAPL :: bear put debit spread :: 2026-08-21,,67%,calibrated strategy-family prior,"strategy_family 67%, 90% lower bound 56%, n=28, INSUFFICIENT","thin_sample, n=1, match=ticker_direction, win 100%, avg $139","FAIL, n=0, OOS n=0",⚪ UNRATED · 67% floor,UNVALIDATED,UNVALIDATED,UNVALIDATED,UNVALIDATED
65,Momentum Debit,GOOGL,Bear Put Debit Spread: buy GOOGL 2026-08-21 335P / sell GOOGL 2026-08-21 330P,2026-08-21,UNVALIDATED - no execution limit,1.05 / 1.19,$172.80,$116.00,1.49,1 contract only,"Hold only while the directional thesis remains confirmed; review at 7 DTE, but do not force an unvalidated time-stop exit.",Review if spread loses 40-50% of debit ($1.16),"Gap -1%: bearish thesis improves, but do not chase; enter only if <= $2.25 debit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Put; flow=spread_leg; edge=thin_sample; score=8.2; confirm=8.0,"top-flow rank 12; net premium $-23,882,978; flow bearish; OI contrary; exact-leg OI side bias conflicts with bearish direction","conflicted: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,"target debit is 23.2% of $5 width; entry target UNVALIDATED - no execution limit; expected-move support ratio 1.63; quote width 8.2%; prior outcome sample n=1, win 100%; flow/OI quality spread_leg/contrary","If this converts to Execute, attach OCO: entry Bear Put Debit Spread: buy GOOGL 2026-08-21 335P / sell GOOGL 2026-08-21 330P at <= $2.25 debit; OCO take-profit SELL TO CLOSE near $3.60 credit, stop SELL TO CLOSE if spread value falls near $1.12 or thesis breaks.",non-price confirmations must improve; debit is already within target,"One contract only; confirm news, OI/flow, spread width, and existing exposure before entering.","top-flow rank 12; net premium $-23,882,978; flow bearish; OI contrary; exact-leg OI side bias conflicts with bearish direction; historical edge=thin_sample; realized payoff lane is unvalidated; displayed only for research; thin_replay_sample:n=1;flow_not_directional:spread_leg;oi_carryover_contrary;debit_ev_not_supported:thin_sample; V4 Scout: target met, but debit execution disabled: corrected next-session replay PF is below 1 for both Bull Call and Bear Put families.",🟡 SCOUT / Review,Scout,Debit spreads,GOOGL :: bear put debit spread :: 2026-08-21,,67%,calibrated strategy-family prior,"strategy_family 67%, 90% lower bound 56%, n=28, INSUFFICIENT","thin_sample, n=1, match=ticker_direction, win 100%, avg $77","FAIL, n=0, OOS n=0",⚪ UNRATED · 67% floor,UNVALIDATED,UNVALIDATED,UNVALIDATED,UNVALIDATED
66,Momentum Debit,AAPL,Bear Put Debit Spread: buy AAPL 2026-09-18 300P / sell AAPL 2026-09-18 295P,2026-09-18,UNVALIDATED - no execution limit,2.03 / 2.20,$126.00,$220.00,0.57,1 contract only,"Hold only while the directional thesis remains confirmed; review at 7 DTE, but do not force an unvalidated time-stop exit.",Review if spread loses 40-50% of debit ($2.20),"Gap -1%: bearish thesis improves, but do not chase; enter only if <= $2.25 debit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Put; flow=directional; edge=thin_sample; score=7.9; confirm=9.0,"top-flow rank 8; net premium $-29,311,195; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","conflicted: trend=range, vol=low, flow=weak",mixed; earnings in 79 days; Structured earnings/event date is known and outside 7 days (2026-10-29). Earnings date carried from UW stock-screener next_earnings_dt.,"target debit is 44.0% of $5 width; entry target UNVALIDATED - no execution limit; expected-move support ratio 6.37; quote width 2.7%; prior outcome sample n=1, win 100%; flow/OI quality directional/supportive","If this converts to Execute, attach OCO: entry Bear Put Debit Spread: buy AAPL 2026-09-18 300P / sell AAPL 2026-09-18 295P at <= $2.25 debit; OCO take-profit SELL TO CLOSE near $3.60 credit, stop SELL TO CLOSE if spread value falls near $1.12 or thesis breaks.",non-price confirmations must improve; debit is already within target,"One contract only; confirm news, OI/flow, spread width, and existing exposure before entering.","top-flow rank 8; net premium $-29,311,195; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=thin_sample; realized payoff lane is unvalidated; displayed only for research; thin_replay_sample:n=1;debit_ev_not_supported:thin_sample; V4 Scout: target met, but debit execution disabled: corrected next-session replay PF is below 1 for both Bull Call and Bear Put families.",🟡 SCOUT / Review,Scout,Debit spreads,AAPL :: bear put debit spread :: 2026-09-18,,67%,calibrated strategy-family prior,"strategy_family 67%, 90% lower bound 56%, n=28, INSUFFICIENT","thin_sample, n=1, match=ticker_direction, win 100%, avg $139","FAIL, n=0, OOS n=0",⚪ UNRATED · 67% floor,UNVALIDATED,UNVALIDATED,UNVALIDATED,UNVALIDATED
67,Momentum Debit,GOOGL,Bear Put Debit Spread: buy GOOGL 2026-09-18 325P / sell GOOGL 2026-09-18 320P,2026-09-18,UNVALIDATED - no execution limit,1.17 / 1.35,$166.95,$129.00,1.29,1 contract only,"Hold only while the directional thesis remains confirmed; review at 7 DTE, but do not force an unvalidated time-stop exit.",Review if spread loses 40-50% of debit ($1.29),"Gap -1%: bearish thesis improves, but do not chase; enter only if <= $2.25 debit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Put; flow=directional; edge=thin_sample; score=8.1; confirm=8.0,"top-flow rank 12; net premium $-23,882,978; flow bearish; OI contrary; exact-leg OI side bias conflicts with bearish direction","conflicted: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,"target debit is 25.9% of $5 width; entry target UNVALIDATED - no execution limit; expected-move support ratio 1.60; quote width 5.1%; prior outcome sample n=1, win 100%; flow/OI quality directional/contrary","If this converts to Execute, attach OCO: entry Bear Put Debit Spread: buy GOOGL 2026-09-18 325P / sell GOOGL 2026-09-18 320P at <= $2.25 debit; OCO take-profit SELL TO CLOSE near $3.60 credit, stop SELL TO CLOSE if spread value falls near $1.12 or thesis breaks.",non-price confirmations must improve; debit is already within target,"One contract only; confirm news, OI/flow, spread width, and existing exposure before entering.","top-flow rank 12; net premium $-23,882,978; flow bearish; OI contrary; exact-leg OI side bias conflicts with bearish direction; historical edge=thin_sample; realized payoff lane is unvalidated; displayed only for research; thin_replay_sample:n=1;oi_carryover_contrary;debit_ev_not_supported:thin_sample; V4 Scout: target met, but debit execution disabled: corrected next-session replay PF is below 1 for both Bull Call and Bear Put families.",🟡 SCOUT / Review,Scout,Debit spreads,GOOGL :: bear put debit spread :: 2026-09-18,,67%,calibrated strategy-family prior,"strategy_family 67%, 90% lower bound 56%, n=28, INSUFFICIENT","thin_sample, n=1, match=ticker_direction, win 100%, avg $77","FAIL, n=0, OOS n=0",⚪ UNRATED · 67% floor,UNVALIDATED,UNVALIDATED,UNVALIDATED,UNVALIDATED
68,Momentum Debit,XOM,Bull Call Debit Spread: buy XOM 2026-08-21 162.5C / sell XOM 2026-08-21 167.5C,2026-08-21,UNVALIDATED - no execution limit,0.87 / 0.93,$183.15,$93.00,1.97,1 contract only,"Hold only while the directional thesis remains confirmed; review at 7 DTE, but do not force an unvalidated time-stop exit.",Review if spread loses 40-50% of debit ($0.93),"Gap +1%: bullish thesis improves, but do not chase; enter only if <= $2.25 debit still holds with fresh OI/news confirmation. Gap -1%: thesis weakens; downgrade to Scout/Research unless support, flow, and quote width reconfirm.",Bull Call; flow=directional; edge=thin_sample; score=7.8; confirm=8.0,OI mixed; exact-leg OI has both supportive and contrary side bias,"conflicted: trend=range, vol=low, flow=weak",mixed; earnings in 80 days; Structured earnings/event date is known and outside 7 days (2026-10-30). Earnings date carried from UW stock-screener next_earnings_dt.,"target debit is 18.6% of $5 width; entry target UNVALIDATED - no execution limit; expected-move support ratio 2.03; quote width 15.0%; prior outcome sample n=1, win 100%; flow/OI quality directional/mixed","If this converts to Execute, attach OCO: entry Bull Call Debit Spread: buy XOM 2026-08-21 162.5C / sell XOM 2026-08-21 167.5C at <= $2.25 debit; OCO take-profit SELL TO CLOSE near $3.60 credit, stop SELL TO CLOSE if spread value falls near $1.12 or thesis breaks.",non-price confirmations must improve; debit is already within target,"One contract only; confirm news, OI/flow, spread width, and existing exposure before entering.","OI mixed; exact-leg OI has both supportive and contrary side bias; historical edge=thin_sample; realized payoff lane is unvalidated; displayed only for research; thin_replay_sample:n=1;market_regime_alignment;debit_ev_not_supported:thin_sample; V4 Scout: target met, but debit execution disabled: corrected next-session replay PF is below 1 for both Bull Call and Bear Put families.",🟡 SCOUT / Review,Scout,Debit spreads,XOM :: bull call debit spread :: 2026-08-21,,67%,calibrated strategy-family prior,"strategy_family 67%, 90% lower bound 56%, n=28, INSUFFICIENT","thin_sample, n=1, match=ticker_direction, win 100%, avg $118","FAIL, n=0, OOS n=0",⚪ UNRATED · 67% floor,UNVALIDATED,UNVALIDATED,UNVALIDATED,UNVALIDATED
69,Momentum Debit,META,Bull Call Debit Spread: buy META 2026-09-04 595C / sell META 2026-09-04 605C,2026-09-04,UNVALIDATED - no execution limit,3.48 / 4.10,$278.10,$382.00,0.73,1 contract only,"Hold only while the directional thesis remains confirmed; review at 7 DTE, but do not force an unvalidated time-stop exit.",Review if spread loses 40-50% of debit ($3.82),"Gap +1%: bullish thesis improves, but do not chase; enter only if <= $4.50 debit still holds with fresh OI/news confirmation. Gap -1%: thesis weakens; downgrade to Scout/Research unless support, flow, and quote width reconfirm.",Bull Call; flow=spread_leg; edge=thin_sample; score=7.5; confirm=6.4,"top-flow rank 9; net premium $21,351,879; flow bullish; OI contrary; exact-leg OI side bias conflicts with bullish direction","conflicted: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,"target debit is 38.2% of $10 width; entry target UNVALIDATED - no execution limit; expected-move support ratio 2.84; quote width 5.0%; prior outcome sample n=1, win 100%; flow/OI quality spread_leg/contrary","If this converts to Execute, attach OCO: entry Bull Call Debit Spread: buy META 2026-09-04 595C / sell META 2026-09-04 605C at <= $4.50 debit; OCO take-profit SELL TO CLOSE near $7.20 credit, stop SELL TO CLOSE if spread value falls near $2.25 or thesis breaks.",non-price confirmations must improve; debit is already within target,"One contract only; confirm news, OI/flow, spread width, and existing exposure before entering.","top-flow rank 9; net premium $21,351,879; flow bullish; OI contrary; exact-leg OI side bias conflicts with bullish direction; historical edge=thin_sample; realized payoff lane is unvalidated; displayed only for research; thin_replay_sample:n=1;decision_marginal_live_liquidity;flow_not_directional:spread_leg;market_regime_alignment;oi_carryover_contrary;debit_ev_not_supported:thin_sample;liquidity_quote_quality; V4 Scout: target met, but debit execution disabled: corrected next-session replay PF ",🟡 SCOUT / Review,Scout,Debit spreads,META :: bull call debit spread :: 2026-09-04,,67%,calibrated strategy-family prior,"strategy_family 67%, 90% lower bound 56%, n=28, INSUFFICIENT","thin_sample, n=1, match=ticker_direction, win 100%, avg $208","FAIL, n=0, OOS n=0",⚪ UNRATED · 67% floor,UNVALIDATED,UNVALIDATED,UNVALIDATED,UNVALIDATED
70,Momentum Debit,GOOGL,Bear Put Debit Spread: buy GOOGL 2026-08-21 340P / sell GOOGL 2026-08-21 335P,2026-08-21,UNVALIDATED - no execution limit,1.64 / 1.83,$144.00,$180.00,0.80,1 contract only,"Hold only while the directional thesis remains confirmed; review at 7 DTE, but do not force an unvalidated time-stop exit.",Review if spread loses 40-50% of debit ($1.80),"Gap -1%: bearish thesis improves, but do not chase; enter only if <= $2.25 debit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Put; flow=spread_leg; edge=thin_sample; score=8.5; confirm=8.0,"top-flow rank 12; net premium $-23,882,978; flow bearish; OI contrary; exact-leg OI side bias conflicts with bearish direction","conflicted: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,"target debit is 36.0% of $5 width; entry target UNVALIDATED - no execution limit; expected-move support ratio 2.85; quote width 5.8%; prior outcome sample n=1, win 100%; flow/OI quality spread_leg/contrary","If this converts to Execute, attach OCO: entry Bear Put Debit Spread: buy GOOGL 2026-08-21 340P / sell GOOGL 2026-08-21 335P at <= $2.25 debit; OCO take-profit SELL TO CLOSE near $3.60 credit, stop SELL TO CLOSE if spread value falls near $1.12 or thesis breaks.",non-price confirmations must improve; debit is already within target,"One contract only; confirm news, OI/flow, spread width, and existing exposure before entering.","top-flow rank 12; net premium $-23,882,978; flow bearish; OI contrary; exact-leg OI side bias conflicts with bearish direction; historical edge=thin_sample; realized payoff lane is unvalidated; displayed only for research; thin_replay_sample:n=1;flow_not_directional:spread_leg;oi_carryover_contrary;debit_ev_not_supported:thin_sample; V4 Scout: target met, but debit execution disabled: corrected next-session replay PF is below 1 for both Bull Call and Bear Put families.",🟡 SCOUT / Review,Scout,Debit spreads,GOOGL :: bear put debit spread :: 2026-08-21,,67%,calibrated strategy-family prior,"strategy_family 67%, 90% lower bound 56%, n=28, INSUFFICIENT","thin_sample, n=1, match=ticker_direction, win 100%, avg $77","FAIL, n=0, OOS n=0",⚪ UNRATED · 67% floor,UNVALIDATED,UNVALIDATED,UNVALIDATED,UNVALIDATED
71,Momentum Debit,AAPL,Bear Put Debit Spread: buy AAPL 2026-08-21 300P / sell AAPL 2026-08-21 295P,2026-08-21,UNVALIDATED - no execution limit,1.74 / 1.87,$140.85,$187.00,0.75,1 contract only,"Hold only while the directional thesis remains confirmed; review at 7 DTE, but do not force an unvalidated time-stop exit.",Review if spread loses 40-50% of debit ($1.87),"Gap -1%: bearish thesis improves, but do not chase; enter only if <= $2.25 debit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Put; flow=directional; edge=thin_sample; score=8.5; confirm=8.0,"top-flow rank 8; net premium $-29,311,195; flow bearish; OI contrary; exact-leg OI side bias conflicts with bearish direction","conflicted: trend=range, vol=low, flow=weak",mixed; earnings in 79 days; Structured earnings/event date is known and outside 7 days (2026-10-29). Earnings date carried from UW stock-screener next_earnings_dt.,"target debit is 37.4% of $5 width; entry target UNVALIDATED - no execution limit; expected-move support ratio 3.60; quote width 6.2%; prior outcome sample n=1, win 100%; flow/OI quality directional/contrary","If this converts to Execute, attach OCO: entry Bear Put Debit Spread: buy AAPL 2026-08-21 300P / sell AAPL 2026-08-21 295P at <= $2.25 debit; OCO take-profit SELL TO CLOSE near $3.60 credit, stop SELL TO CLOSE if spread value falls near $1.12 or thesis breaks.",non-price confirmations must improve; debit is already within target,"One contract only; confirm news, OI/flow, spread width, and existing exposure before entering.","top-flow rank 8; net premium $-29,311,195; flow bearish; OI contrary; exact-leg OI side bias conflicts with bearish direction; historical edge=thin_sample; realized payoff lane is unvalidated; displayed only for research; thin_replay_sample:n=1;oi_carryover_contrary;debit_ev_not_supported:thin_sample; V4 Scout: target met, but debit execution disabled: corrected next-session replay PF is below 1 for both Bull Call and Bear Put families.",🟡 SCOUT / Review,Scout,Debit spreads,AAPL :: bear put debit spread :: 2026-08-21,,67%,calibrated strategy-family prior,"strategy_family 67%, 90% lower bound 56%, n=28, INSUFFICIENT","thin_sample, n=1, match=ticker_direction, win 100%, avg $139","FAIL, n=0, OOS n=0",⚪ UNRATED · 67% floor,UNVALIDATED,UNVALIDATED,UNVALIDATED,UNVALIDATED
